Image_Index, Camera, Point_Index, X, Y
5, left, 47, 2701.7227, 1428.9384
5, left, 48, 2700.0000, 1387.0000
5, left, 49, 2681.0000, 1592.0000
5, left, 50, 2679.3196, 1546.0580
5, left, 51, 2676.4741, 1499.1702
5, left, 52, 2675.2717, 1455.9808
5, left, 53, 2673.3936, 1412.8256
5, left, 54, 2671.6453, 1370.9034
5, right, 1, 2661.0000, 1469.0000
5, right, 2, 2653.0959, 1395.4015
5, right, 3, 2647.1580, 1321.4213
5, right, 4, 2640.8477, 1250.9064
5, right, 5, 2636.0000, 1180.0000
5, right, 6, 2629.1926, 1110.3373
5, right, 7, 2581.4133, 1469.0703
5, right, 8, 2576.3674, 1394.4955
5, right, 9, 2569.5327, 1322.4366
5, right, 10, 2564.1467, 1250.0302
5, right, 11, 2558.8186, 1180.2291
5, right, 12, 2554.0000, 1111.0000
5, right, 13, 2504.8892, 1468.7638
5, right, 14, 2497.9624, 1394.4044
5, right, 15, 2492.6008, 1321.4070
5, right, 16, 2487.2310, 1250.9991
5, right, 17, 2483.4326, 1180.6627
5, right, 18, 2477.9768, 1111.7961
5, right, 19, 2424.9753, 1467.4155
5, right, 20, 2420.7122, 1393.6566
5, right, 21, 2415.7585, 1321.6975
5, right, 22, 2411.9727, 1250.7823
5, right, 23, 2407.1177, 1180.8424
5, right, 24, 2402.9514, 1112.1473
5, right, 25, 2348.2776, 1466.5225
5, right, 26, 2342.7954, 1393.6548
5, right, 27, 2338.8857, 1320.8563
5, right, 28, 2335.3420, 1250.8342
5, right, 29, 2331.8452, 1181.1912
5, right, 30, 2328.1729, 1112.9012
5, right, 31, 2270.4502, 1465.2358
5, right, 32, 2267.0266, 1392.6245
5, right, 33, 2263.3860, 1321.0686
5, right, 34, 2260.1846, 1250.8342
5, right, 35, 2257.1030, 1181.6960
5, right, 36, 2254.2915, 1113.7734
5, right, 37, 2194.0000, 1464.0000
5, right, 38, 2190.9451, 1391.9176
5, right, 39, 2188.6226, 1321.0630
5, right, 40, 2185.2935, 1251.0566
5, right, 41, 2183.3713, 1182.2008
5, right, 42, 2180.5552, 1114.4446
5, right, 43, 2118.3816, 1463.3765
5, right, 44, 2116.5283, 1391.7114
5, right, 45, 2113.6831, 1320.6321
5, right, 46, 2111.6577, 1250.8285
5, right, 47, 2109.7791, 1182.5912
5, right, 48, 2108.1841, 1115.0542
5, right, 49, 2043.0000, 1463.0000
5, right, 50, 2041.8781, 1390.7197
5, right, 51, 2040.3729, 1320.5950
5, right, 52, 2038.5325, 1251.2163
5, right, 53, 2037.5934, 1183.1281
5, right, 54, 2035.9073, 1115.8735
6, left, 1, 2642.6587, 880.8432
6, left, 2, 2636.0757, 841.0158
6, left, 3, 2629.6392, 801.8781
6, left, 4, 2623.3274, 763.8336
6, left, 5, 2617.1562, 726.4211
6, left, 6, 2611.0413, 689.9808
6, left, 7, 2593.8044, 875.8621
6, left, 8, 2587.3850, 835.7811
6, left, 9, 2581.7512, 796.9879
6, left, 10, 2575.7434, 758.7639
6, left, 11, 2570.1953, 721.5435
6, left, 12, 2564.2991, 685.0103
6, left, 13, 2544.3306, 870.5489
6, left, 14, 2538.8918, 830.9357
6, left, 15, 2533.5847, 791.9693
6, left, 16, 2528.4392, 753.9216
6, left, 17, 2523.2051, 716.7885
6, left, 18, 2518.1013, 680.3804
6, left, 19, 2495.5845, 865.7737
6, left, 20, 2490.5142, 825.9178
6, left, 21, 2485.8562, 787.0091
6, left, 22, 2480.7856, 748.9117
6, left, 23, 2476.3918, 711.9686
6, left, 24, 2471.6936, 675.5752
6, left, 25, 2446.2300, 860.6664
6, left, 26, 2441.9155, 820.8212
6, left, 27, 2437.6494, 781.9883
6, left, 28, 2433.7410, 744.1841
6, left, 29, 2429.7979, 707.4099
6, left, 30, 2425.5837, 671.1393
6, left, 31, 2397.0591, 855.7083
6, left, 32, 2393.3899, 816.0863
6, left, 33, 2389.8262, 777.2794
6, left, 34, 2386.1814, 739.3539
6, left, 35, 2382.6692, 702.3813
6, left, 36, 2379.1267, 666.2657
6, left, 37, 2347.9475, 850.6187
6, left, 38, 2344.8604, 811.0668
6, left, 39, 2341.5325, 772.3455
6, left, 40, 2338.7429, 734.7303
6, left, 41, 2335.7073, 697.8635
6, left, 42, 2333.0083, 661.8700
